ARRC ID,NCIC AGENCY CODE,YEAR,MONTH,LOCATION TYPE,TYPE OF LOSS,VALUE,PROPERTY CATEGORY,QUANTITY,S.RACE,S.GENDER,V.RACE,V.GENDER,VICTIM TYPE,WEAPON,OFFENSE CODE,CODE TYPE,DESCRIPTION,CHARGE TYPE,BCS CODE,SUMMARY CODE
4272,3313,2004,4,Public Reproductive Health Facility,,,,,Hispanic,Female,Hispanic,Female,Individual Employee,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
5063,4807,2004,4,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",0,Public/Community,1,Unknown,Unknown,,,Health Facility,,374.3(A),PC   ,DUMP WAST:PUB/ETC:COMERCL,M    ,58,60
1508,3318,2004,4,Public Reproductive Health Facility,,,,,White,Male,Hispanic,Female,Individual Client,Handgun,664/187(A),PC   ,ATTEMPTED MURDER,F    ,300,6
3261,4502,2004,6,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,,422,PC   ,THRTN CRIME:INT:TERRORIZE,F    ,345,6
3261,4502,2004,6,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,,422,PC   ,THRTN CRIME:INT:TERRORIZE,F    ,345,6
3261,4502,2004,6,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Other,,422,PC   ,THRTN CRIME:INT:TERRORIZE,F    ,345,6
3261,4502,2004,6,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Other,,422,PC   ,THRTN CRIME:INT:TERRORIZE,F    ,345,6
3261,4502,2004,6,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
3261,4502,2004,6,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
3261,4502,2004,6,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Other,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
3261,4502,2004,6,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Other,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
4229,3313,2004,4,Public Reproductive Health Facility,,,,,White,Male,White,Male,Individual Client,,415(3),PC   ,OFFENSIVE WORDS:PUBLIC PL,M    ,56,46
8120,1502,2004,2,Residence/Home/Driveway,,,,,White,Male,White,Female,Individual Client,,422,PC   ,THREAT CRIME:INT:TERORIZE,M    ,399,30
4228,3905,2004,7,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",255,Commercial/Business,1,White,Male,,,Health Facility,,594(A)(2),PC   ,VANDALISM:DAMAGE PROPERTY,M    ,66,47
5064,704,2004,7,Public Reproductive Health Facility,,,,,White,Male,,,Health Facility,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
11763,3313,2005,4,Private Reproductive Health Facility,,,,,Hispanic,Male,Hispanic,Male,Individual Other,"Personal Weapons (hands, feet, etc.)",242,PC   ,BATTERY ON PERSON,M    ,397,30
11431,1925,2005,3,Commercial/Office Building,"Destroyed, Damaged, or Vandalized",500,Commercial/Business,1,Unknown,Unknown,,,Business,Fire/Incendiary Device,451(D),PC   ,ARSON:PROPERTY,F    ,924,24
11431,1925,2005,3,Commercial/Office Building,"Destroyed, Damaged, or Vandalized",500,Commercial/Business,1,Unknown,Unknown,,,Business,Fire/Incendiary Device,422.6(B),PC   ,DAMAGE PROP:VIO CIVL RGHT,M    ,66,47
11431,1925,2005,3,Commercial/Office Building,"Destroyed, Damaged, or Vandalized",500,Commercial/Business,1,Unknown,Unknown,,,Business,Fire/Incendiary Device,453(A),PC   ,POS/ETC ARSON MATERIL/DEV,F    ,922,24
11759,1925,2005,3,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",500,Commercial/Business,1,Unknown,Unknown,,,Health Facility,,594(A)(2),PC   ,VANDALISM:DAMAGE PROPERTY,F    ,64,25
11760,2109,2005,2,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",2000,Commercial/Business,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,F    ,64,25
12300,2109,2005,6,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",100,Commercial/Business,1,Unknown,Unknown,,,Health Facility,,594(A)(2),PC   ,VANDALISM:DAMAGE PROPERTY,M    ,66,47
13809,704,2005,8,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",,Commercial/Business,1,Unknown,Unknown,,,Business,Other,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
17498,3015,2005,11,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",500,Commercial/Business,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,66,47
12954,3313,2005,7,Private Reproductive Health Facility,,,,,White,Female,Hispanic,Female,Individual Client,"Personal Weapons (hands, feet, etc.)",240,PC   ,ASSAULT,M    ,396,30
16582,5002,2005,12,Private Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,,148.1(C),PC   ,FALSE BOMB REPORT,F    ,390,6
26959,1925,2006,12,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",400,Other Structure,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,66,47
25233,3905,2006,7,Public Reproductive Health Facility,,,,,White,Male,Black,Male,Individual Other,,423.2(C),PC   ,NONVIOL OBST:REP HLTH SVS,M    ,399,30
26059,3313,2006,12,Private Reproductive Health Facility,,,,,White,Male,Hispanic,Female,Individual Client,,423.2(C),PC   ,NONVIOL OBST:REP HLTH SVS,M    ,399,30
19409,402,2006,2,Private Reproductive Health Facility,,,,,White,Male,White,Male,Individual Employee,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
30645,1955,2007,7,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",100,Structure:Public/Community,1,Unknown,Female,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,66,47
34817,1925,2007,12,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",300,Structure:Commercial/Business,1,Unknown,Unknown,,,Health Facility,,422.6(B),PC   ,DAMAGE PROP:VIO CIVL RGHT,M    ,66,47
31040,3905,2007,8,Public Reproductive Health Facility,,,,,White,Male,Black,Male,Individual Other,Other,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
30949,4116,2007,2,Private Reproductive Health Facility,,,,,White,Male,White,Male,Individual Employee,Handgun,664/187(A),PC   ,ATT MURDER:PREMEDITATED,F    ,300,6
32775,4313,2007,9,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",,Structure:Commercial/Business,1,White,Male,,,Business,,423.2(E),PC   ,DAMAGE PROP:REP HLTH SVS,M    ,66,47
33186,3610,2007,9,Private Reproductive Health Facility,,,,,White,Male,,,Business,,602.1(A),PC   ,TRESPASS PUBLIC BUSINESS,M    ,68,49
43889,109,2008,3,Public Reproductive Health Facility,None,,Structure:Public/Community,1,Black,Male,,,Health Facility,,65000,ZZ   ,LOCAL ORDINANCE VIOL,M    ,97,58
35507,1925,2008,1,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",100,Structure:Public/Community,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,66,47
43866,1920,2008,1,Government/Public Building,,,,,Unknown,Unknown,,,Health Facility,,148.1(A),PC   ,FALSE BOMB/ETC REP:PO/ETC,F    ,390,6
43868,1200,2008,2,Public Reproductive Health Facility,Burned,,Structure:Commercial/Business,1,Unknown,Unknown,,,Health Facility,Fire/Incendiary Device,422.6(B),PC   ,DAMAGE PROP:VIO CIVL RGHT,M    ,66,47
43868,1200,2008,2,Public Reproductive Health Facility,Burned,,Structure:Commercial/Business,1,Unknown,Unknown,,,Health Facility,Fire/Incendiary Device,591,PC   ,DAMAGE/ETC POWER LINES,F    ,991,25
43868,1200,2008,2,Public Reproductive Health Facility,Burned,,Structure:Commercial/Business,1,Unknown,Unknown,,,Health Facility,Fire/Incendiary Device,11413(A),PC   ,USE EXPL DEV TO TERRORIZE,F    ,362,6
45095,4313,2008,3,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",1,Structure:Commercial/Business,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,66,47
52579,3400,2009,8,Other,,,,,Black,Male,Black,Female,Individual Client,,422,PC   ,THRTN CRIME:INT:TERRORIZE,F    ,345,6
