Year,COUNTY,MONTH,FEL_BEGINNING_CASELOAD,FEL_REC_COURT,FEL_REC_REINSTATED,FEL_REC_OTHER,FEL_RMVD_TERMINATED,FEL_RMVD_REVOKED,FEL_RMVD_OTHER,FEL_ENDING_CASELOAD,MISD_BEGINNING_CASELOAD,MISD_REC_COURT,MISD_REC_REINSTATED,MISD_REC_OTHER,MISD_RMVD_TERMINATED,MISD_RMVD_REVOKED,MISD_RMVD_OTHER,MISD_ENDING_CASELOAD,FEL_REC_TOTAL,FEL_RMVD_TOTAL,MISD_REC_TOTAL,MISD_RMVD_TOTAL,ALL_RMVD_OTHER,ALL_RMVD_REVOKED,ALL_RMVD_TERM,ALL_RMVD_TOTAL,ALL_REC_OTHER,ALL_REC_REINST,ALL_REC_COURT,ALL_REC_TOTAL
2003,Alameda County,January,14433,353,229,0,134,208,185,14488,2102,72,19,37,28,55,32,2115,582,527,128,115,217,263,162,642,37,248,425,710
2003,Alameda County,February,14488,328,227,0,135,193,150,14565,2115,113,19,0,39,34,34,2140,555,478,132,107,184,227,174,585,0,246,441,687
2003,Alameda County,March,14565,364,229,0,176,239,152,14591,2140,173,20,0,28,32,124,2149,593,567,193,184,276,271,204,751,0,249,537,786
2003,Alameda County,April,14591,355,191,0,151,205,89,14692,2149,151,11,19,19,25,29,2257,546,445,181,73,118,230,170,518,19,202,506,727
2003,Alameda County,May,14692,404,219,0,131,197,201,14786,2257,110,11,12,26,30,22,2312,623,529,133,78,223,227,157,607,12,230,514,756
2003,Alameda County,June,14786,320,194,0,126,188,121,14865,2312,53,19,28,24,37,12,2339,514,435,100,73,133,225,150,508,28,213,373,614
2003,Alameda County,July,14865,349,202,0,132,207,113,14964,2339,125,11,40,36,46,30,2403,551,452,176,112,143,253,168,564,40,213,474,727
2003,Alameda County,August,14964,348,228,0,202,188,208,14942,2403,79,9,0,29,23,102,2337,576,598,88,154,310,211,231,752,0,237,427,664
2003,Alameda County,September,14942,375,184,0,226,178,78,15019,2337,69,4,0,12,40,98,2260,559,482,73,150,176,218,238,632,0,188,444,632
2003,Alameda County,October,15019,386,203,0,169,165,143,15131,2260,74,12,0,17,39,68,2222,589,477,86,124,211,204,186,601,0,215,460,675
2003,Alameda County,November,15131,281,124,0,144,134,123,15135,2222,68,10,0,15,23,75,2187,405,401,78,113,198,157,159,514,0,134,349,483
2003,Alameda County,December,15135,363,221,0,207,150,156,15206,2187,41,7,0,12,32,125,2066,584,513,48,169,281,182,219,682,0,228,404,632
2003,Alpine County,January,39,0,1,0,0,0,0,40,52,3,0,0,2,2,1,50,1,0,3,5,1,2,2,5,0,1,3,4
2003,Alpine County,February,40,0,0,0,1,0,0,39,50,2,0,0,1,0,0,51,0,1,2,1,0,0,2,2,0,0,2,2
2003,Alpine County,March,39,1,0,0,1,1,0,38,51,0,2,0,0,0,0,53,1,2,2,0,0,1,1,2,0,2,1,3
2003,Alpine County,April,38,6,0,0,3,1,0,40,53,3,0,0,2,1,0,53,6,4,3,3,0,2,5,7,0,0,9,9
2003,Alpine County,May,39,1,1,0,0,1,0,40,52,1,0,0,0,1,0,52,2,1,1,1,0,2,0,2,0,1,2,3
2003,Alpine County,June,40,1,0,0,1,1,0,39,52,4,0,0,2,0,0,54,1,2,4,2,0,1,3,4,0,0,5,5
2003,Alpine County,July,39,0,0,0,2,0,0,37,54,3,1,0,1,2,0,55,0,2,4,3,0,2,3,5,0,1,3,4
2003,Alpine County,August,37,0,0,0,0,1,0,36,55,2,0,0,1,0,1,55,0,1,2,2,1,1,1,3,0,0,2,2
2003,Alpine County,September,36,1,0,0,2,2,0,33,55,3,1,0,3,0,0,56,1,4,4,3,0,2,5,7,0,1,4,5
2003,Alpine County,October,33,0,0,0,1,0,2,30,56,2,0,0,0,1,0,57,0,3,2,1,2,1,1,4,0,0,2,2
2003,Alpine County,November,30,0,0,0,2,0,0,28,57,3,0,0,3,0,0,57,0,2,3,3,0,0,5,5,0,0,3,3
2003,Alpine County,December,28,0,1,0,2,1,0,26,57,1,0,0,1,2,2,53,1,3,1,5,2,3,3,8,0,1,1,2
2003,Amador County,January,251,7,5,0,8,7,0,248,560,17,4,0,4,10,0,567,12,15,21,14,0,17,12,29,0,9,24,33
2003,Amador County,February,248,2,8,0,11,4,0,243,567,1,1,0,3,8,0,558,10,15,2,11,0,12,14,26,0,9,3,12
2003,Amador County,March,243,17,4,0,1,12,0,251,558,5,3,0,1,18,0,547,21,13,8,19,0,30,2,32,0,7,22,29
2003,Amador County,April,251,8,1,0,9,9,0,242,547,7,4,0,16,26,0,516,9,18,11,42,0,35,25,60,0,5,15,20
2003,Amador County,May,242,9,7,0,2,12,0,244,516,20,4,0,5,14,0,521,16,14,24,19,0,26,7,33,0,11,29,40
2003,Amador County,June,244,15,3,0,2,8,0,252,521,20,5,0,1,6,0,539,18,10,25,7,0,14,3,17,0,8,35,43
2003,Amador County,July,252,6,7,0,5,10,0,250,539,11,0,0,11,16,0,523,13,15,11,27,0,26,16,42,0,7,17,24
2003,Amador County,August,250,9,13,0,2,11,0,259,523,22,12,0,19,4,0,534,22,13,34,23,0,15,21,36,0,25,31,56
2003,Amador County,September,259,9,5,0,3,10,0,260,534,10,3,0,4,6,0,537,14,13,13,10,0,16,7,23,0,8,19,27
2003,Amador County,October,260,12,2,0,1,11,0,262,537,5,3,0,1,18,0,526,14,12,8,19,0,29,2,31,0,5,17,22
2003,Amador County,November,262,11,14,0,3,14,0,270,526,16,9,0,6,18,0,527,25,17,25,24,0,32,9,41,0,23,27,50
2003,Amador County,December,270,16,5,0,3,13,0,275,527,32,2,0,0,17,0,544,21,16,34,17,0,30,3,33,0,7,48,55
2003,Butte County,January,1037,43,7,0,26,24,0,1037,490,20,3,0,3,21,0,489,50,50,23,24,0,45,29,74,0,10,63,73
2003,Butte County,February,1037,29,8,0,26,20,0,1028,489,15,2,0,13,7,0,486,37,46,17,20,0,27,39,66,0,10,44,54
2003,Butte County,March,1028,65,9,0,17,22,0,1063,486,19,4,0,6,13,0,490,74,39,23,19,0,35,23,58,0,13,84,97
2003,Butte County,April,1063,51,11,0,18,23,0,1084,490,20,8,0,5,7,0,506,62,41,28,12,0,30,23,53,0,19,71,90
2003,Butte County,May,1084,47,12,0,19,18,0,1106,506,13,4,0,11,12,0,500,59,37,17,23,0,30,30,60,0,16,60,76
2003,Butte County,June,1106,38,12,0,30,25,0,1101,500,20,5,0,6,11,0,508,50,55,25,17,0,36,36,72,0,17,58,75
2003,Butte County,July,1101,49,14,0,9,29,0,1126,508,17,3,0,5,8,0,515,63,38,20,13,0,37,14,51,0,17,66,83
2003,Butte County,August,1126,25,9,0,33,31,0,1096,515,15,5,0,4,13,0,518,34,64,20,17,0,44,37,81,0,14,40,54
2003,Butte County,September,1096,44,8,0,17,46,0,1085,518,28,4,0,3,18,0,529,52,63,32,21,0,64,20,84,0,12,72,84
2003,Butte County,October,1085,42,13,0,19,27,0,1094,529,19,3,0,5,9,1,536,55,46,22,15,1,36,24,61,0,16,61,77
2003,Butte County,November,1094,38,15,0,12,29,2,1104,536,28,7,0,0,10,0,561,53,43,35,10,2,39,12,53,0,22,66,88
2003,Butte County,December,1104,43,13,0,8,27,0,1125,561,17,5,0,0,14,0,569,56,35,22,14,0,41,8,49,0,18,60,78
2003,Calaveras County,January,462,19,10,2,10,4,2,477,329,8,10,0,8,4,0,335,31,16,18,12,2,8,18,28,2,20,27,49
2003,Calaveras County,February,477,10,2,0,8,1,3,477,335,12,3,0,6,5,0,339,12,12,15,11,3,6,14,23,0,5,22,27
2003,Calaveras County,March,477,4,9,0,12,0,3,475,339,6,10,0,8,4,0,343,13,15,16,12,3,4,20,27,0,19,10,29
2003,Calaveras County,April,475,12,12,0,10,7,9,473,343,12,10,0,9,2,1,353,24,26,22,12,10,9,19,38,0,22,24,46
2003,Calaveras County,May,473,6,12,0,10,6,3,472,353,17,14,0,9,1,1,373,18,19,31,11,4,7,19,30,0,26,23,49
2003,Calaveras County,June,472,14,10,0,3,2,6,485,373,5,11,0,10,8,0,371,24,11,16,18,6,10,13,29,0,21,19,40
2003,Calaveras County,July,485,9,12,0,5,5,4,492,371,16,13,0,12,6,1,381,21,14,29,19,5,11,17,33,0,25,25,50
2003,Calaveras County,August,492,11,11,0,16,2,2,494,381,10,12,0,12,10,0,381,22,20,22,22,2,12,28,42,0,23,21,44
2003,Calaveras County,September,494,25,5,0,7,0,2,515,381,9,8,0,6,5,0,387,30,9,17,11,2,5,13,20,0,13,34,47
2003,Calaveras County,October,515,9,6,0,12,3,7,508,387,7,5,0,14,6,0,379,15,22,12,20,7,9,26,42,0,11,16,27
2003,Calaveras County,November,508,24,4,0,7,3,3,523,379,14,4,0,10,1,0,386,28,13,18,11,3,4,17,24,0,8,38,46
2003,Calaveras County,December,523,14,5,0,9,5,6,522,386,22,3,0,10,2,0,399,19,20,25,12,6,7,19,32,0,8,36,44
2003,Colusa County,January,224,2,0,0,6,10,1,209,136,4,0,0,0,3,0,137,2,17,4,3,1,13,6,20,0,0,6,6
2003,Colusa County,February,209,5,0,0,2,2,0,210,137,4,1,0,1,4,0,137,5,4,5,5,0,6,3,9,0,1,9,10
2003,Colusa County,March,210,5,1,0,2,10,1,203,137,6,2,0,4,6,1,134,6,13,8,11,2,16,6,24,0,3,11,14
2003,Colusa County,April,203,0,0,0,5,7,0,191,134,5,0,0,2,2,0,135,0,12,5,4,0,9,7,16,0,0,5,5
2003,Colusa County,May,191,6,1,0,3,2,0,193,135,13,0,0,1,4,0,143,7,5,13,5,0,6,4,10,0,1,19,20
2003,Colusa County,June,193,4,0,0,1,7,0,189,143,6,3,2,1,17,0,136,4,8,11,18,0,24,2,26,2,3,10,15
