YEAR,NCIC_AGENCY,FUNDED_NON_JAIL_SWORN_MALE,FUNDED_NON_JAIL_SWORN_FEMALE,FUNDED_NON_JAIL_SWORN_TOTAL,FUNDED_NON_JAIL_CIVIL_MALE,FUNDED_NON_JAIL_CIVIL_FEMALE,FUNDED_NON_JAIL_CIVIL_TOTAL,FUNDED_JAIL_SWORN_MALE,FUNDED_JAIL_SWORN_FEMALE,FUNDED_JAIL_SWORN_TOTAL,FUNDED_JAIL_CIVIL_MALE,FUNDED_JAIL_CIVIL_FEMALE,FUNDED_JAIL_CIVIL_TOTAL
1991,100,302,42,344,93,139,232,336,63,399,107,170,277
1991,101,89,5,94,4,31,35,0,0,0,4,4,8
1991,102,26,3,29,0,4,4,0,0,0,0,0,0
1991,103,162,20,182,31,69,100,0,0,0,12,10,22
1991,104,28,3,31,4,12,16,0,0,0,0,0,0
1991,105,183,14,197,21,55,76,1,0,1,8,7,15
1991,106,149,15,164,25,71,96,9,6,15,3,2,5
1991,107,58,4,62,6,50,56,0,0,0,0,0,0
1991,108,52,2,54,6,17,23,0,0,0,0,0,0
1991,109,610,55,665,114,187,301,6,0,6,72,30,102
1991,110,18,2,20,1,6,7,0,0,0,0,0,0
1991,111,60,5,65,4,26,30,0,0,0,0,0,0
1991,112,82,4,86,11,29,40,0,0,0,4,1,5
1991,113,59,4,63,8,29,37,0,0,0,0,0,0
1991,114,51,3,54,4,14,18,0,0,0,0,0,0
1991,115,12,0,12,0,4,4,0,0,0,0,0,0
1991,121,139,15,154,15,16,31,0,0,0,0,0,0
1991,122,13,0,13,187,50,237,0,0,0,0,0,0
1991,127,8,1,9,5,0,5,0,0,0,0,0,0
1991,197,50,13,63,12,16,28,0,0,0,0,0,0
1991,200,10,0,10,0,3,3,0,0,0,0,0,0
1991,300,37,0,37,0,4,4,0,0,0,0,0,0
1991,302,4,0,4,0,1,1,0,0,0,0,0,0
1991,303,8,1,9,0,2,2,0,0,0,0,0,0
1991,305,5,0,5,0,1,1,0,0,0,0,0,0
1991,400,79,1,80,4,24,28,2,1,3,41,19,60
1991,401,2,0,2,0,0,0,0,0,0,0,0,0
1991,402,57,5,62,5,35,40,0,0,0,0,0,0
1991,403,10,0,10,0,6,6,0,0,0,0,0,0
1991,404,24,1,25,4,8,12,0,0,0,0,0,0
1991,405,23,0,23,3,12,15,0,0,0,0,0,0
1991,497,9,1,10,2,2,4,0,0,0,0,0,0
1991,500,37,3,40,0,13,13,0,1,1,11,7,18
1991,501,7,1,8,1,0,1,0,0,0,0,0,0
1991,600,26,1,27,0,5,5,3,0,3,0,0,0
1991,601,8,1,9,0,1,1,0,0,0,0,0,0
1991,602,6,0,6,0,1,1,0,0,0,0,0,0
1991,700,313,44,357,52,139,191,225,42,267,47,86,133
1991,701,77,5,82,3,32,35,0,0,0,0,0,0
1991,702,14,0,14,3,0,3,0,0,0,0,0,0
