YEAR,COUNTY,NCIC_AGENCY_CODE,MONTH,SUB_HOMICIDE,SUB_RAPE,SUB_ROBBERY,SUB_ASSAULT
2000,1,100,1,0,0,1,2
2000,1,100,2,0,0,1,0
2000,1,100,3,0,0,2,3
2000,1,100,4,0,0,0,2
2000,1,100,5,0,0,0,1
2000,1,100,6,0,0,2,0
2000,1,100,7,0,0,0,0
2000,1,100,8,0,0,0,1
2000,1,100,9,0,0,0,1
2000,1,100,10,0,0,0,2
2000,1,100,11,0,0,1,0
2000,1,100,12,0,0,0,1
2000,1,101,1,0,0,1,0
2000,1,101,2,0,0,1,0
2000,1,101,3,0,0,0,0
2000,1,101,4,0,0,0,0
2000,1,101,5,0,0,2,0
2000,1,101,6,0,0,0,0
2000,1,101,7,0,0,0,0
2000,1,101,8,0,0,0,0
2000,1,101,9,0,0,0,1
2000,1,101,10,0,0,2,0
2000,1,101,11,0,0,0,0
2000,1,101,12,0,0,0,0
2000,1,102,1,0,0,1,0
2000,1,102,2,0,0,0,0
2000,1,102,3,0,0,1,0
2000,1,102,4,0,0,0,0
2000,1,102,5,0,0,0,0
2000,1,102,6,0,0,0,0
2000,1,102,7,0,0,1,0
2000,1,102,8,0,0,0,0
2000,1,102,9,0,0,0,0
2000,1,102,10,0,0,2,1
2000,1,102,11,0,0,0,0
2000,1,102,12,0,0,0,0
2000,1,103,1,0,0,0,0
2000,1,103,2,0,0,1,2
2000,1,103,3,0,0,4,2
2000,1,103,4,0,0,1,1
2000,1,103,5,0,0,2,0
2000,1,103,6,0,0,0,1
2000,1,103,7,0,0,0,1
2000,1,103,8,0,0,0,0
2000,1,103,9,0,0,0,0
2000,1,103,10,0,0,0,0
2000,1,103,11,0,0,1,0
2000,1,103,12,0,0,1,0
2000,1,104,1,0,0,0,0
2000,1,104,2,0,0,0,0
2000,1,104,3,0,0,0,0
2000,1,104,4,0,0,0,0
2000,1,104,5,0,0,0,0
2000,1,104,6,0,0,2,0
2000,1,104,7,0,0,0,0
2000,1,104,8,0,0,0,1
2000,1,104,9,0,0,0,0
2000,1,104,10,0,0,0,0
2000,1,104,11,0,0,0,0
2000,1,104,12,0,0,0,0
2000,1,105,1,0,0,0,0
2000,1,105,2,0,0,0,0
2000,1,105,3,0,0,0,0
2000,1,105,4,0,0,0,1
2000,1,105,5,0,0,0,0
2000,1,105,6,0,0,0,0
2000,1,105,7,0,0,0,0
2000,1,105,8,0,0,0,0
2000,1,105,9,0,0,0,0
2000,1,105,10,0,0,0,0
2000,1,105,11,0,0,0,0
2000,1,105,12,0,0,0,0
2000,1,106,1,0,0,2,0
2000,1,106,2,0,0,0,0
2000,1,106,3,0,0,0,0
2000,1,106,4,0,0,0,0
2000,1,106,5,0,0,0,0
2000,1,106,6,0,0,0,0
2000,1,106,7,0,0,0,0
2000,1,106,8,0,0,0,1
2000,1,106,9,0,0,1,0
2000,1,106,10,0,0,1,1
2000,1,106,11,0,0,0,0
2000,1,106,12,0,0,0,0
2000,1,107,1,0,0,0,0
2000,1,107,2,0,0,0,0
2000,1,107,3,0,0,0,0
2000,1,107,4,0,0,0,1
2000,1,107,5,0,0,0,0
2000,1,107,6,0,0,0,0
2000,1,107,7,0,0,0,0
2000,1,107,8,0,0,0,0
2000,1,107,9,0,0,0,0
2000,1,107,10,0,0,0,0
2000,1,107,11,0,0,0,0
2000,1,107,12,0,0,0,0
2000,1,108,1,0,0,0,0
2000,1,108,2,0,0,0,0
2000,1,108,3,0,0,0,0
2000,1,108,4,0,0,0,0
2000,1,108,5,0,0,0,1
2000,1,108,6,0,0,0,0
2000,1,108,7,0,0,0,0
2000,1,108,8,0,0,0,1
2000,1,108,9,0,0,0,0
2000,1,108,10,0,0,0,0
2000,1,108,11,0,0,0,2
2000,1,108,12,0,0,0,0
2000,1,109,1,0,0,1,1
2000,1,109,2,0,0,8,5
2000,1,109,3,0,0,14,4
2000,1,109,4,0,0,15,5
2000,1,109,5,2,1,7,7
2000,1,109,6,0,0,18,9
2000,1,109,7,0,1,16,7
2000,1,109,8,0,0,11,5
2000,1,109,9,0,0,6,7
2000,1,109,10,0,0,14,7
2000,1,109,11,0,0,10,7
2000,1,109,12,0,1,4,6
2000,1,110,1,0,0,0,0
2000,1,110,2,0,0,0,0
2000,1,110,3,0,0,0,0
2000,1,110,4,0,0,0,0
2000,1,110,5,0,0,0,0
2000,1,110,6,0,0,0,0
2000,1,110,7,0,0,0,0
2000,1,110,8,0,0,0,0
2000,1,110,9,0,0,0,0
2000,1,110,10,0,0,0,0
2000,1,110,11,0,0,0,0
2000,1,110,12,0,0,0,0
2000,1,111,1,0,0,0,0
2000,1,111,2,0,0,0,0
2000,1,111,3,0,0,0,0
2000,1,111,4,0,0,0,0
2000,1,111,5,0,0,0,0
2000,1,111,6,0,0,1,0
2000,1,111,7,0,1,0,0
2000,1,111,8,0,0,0,0
2000,1,111,9,0,0,0,0
2000,1,111,10,0,0,0,0
2000,1,111,11,0,0,0,0
2000,1,111,12,0,0,0,0
2000,1,112,1,0,0,0,0
